mandt,matnr,aline,cdate,ctime,dat00,delb0,extra,umdat,auskt,mng01,mng02,p_ingestday,p_ingesttime
1,807165907,1011,01/10/22,4:04:54,01/13/22,SchAgr,F3KXYH3/00001,01/12/22,30,80,994,01/12/22,9
1,807165907,0,12/30/21,7:19:37,12/30/21,SafeSt,SafetyStock,,,120.000-,1,184.00,01/01/22,9
1,807165907,37,12/30/21,7:19:37,01/03/22,ShipNt,0185558487/F3KXYH3,01/04/22,15,480,1,630.00,01/01/22,9
1,807165907,0,12/31/21,7:19:40,12/31/21,SafeSt,SafetyStock,,,120.000-,1,184.00,01/02/22,9
1,807165907,37,12/31/21,7:19:40,01/03/22,ShipNt,0185558487/F3KXYH3,01/04/22,15,480,1,630.00,01/02/22,9
1,807165907,0,01/01/22,7:19:47,01/01/22,SafeSt,SafetyStock,,,120.000-,1,184.00,01/03/22,9
1,807165907,37,01/01/22,7:19:47,01/03/22,ShipNt,0185558487/F3KXYH3,01/04/22,15,480,1,630.00,01/03/22,9
1,807165907,3535,11/30/21,7:19:39,12/14/21,SchAgr,F3KXYH3/00001,12/13/21,30,320,1,002.00,12/03/21,19
1,807165907,3124,11/30/21,7:19:39,12/10/21,SchAgr,F3KXYH3/00001,12/09/21,30,240,1,017.00,12/03/21,19
1,807165907,0,10/27/21,7:19:52,10/27/21,SafeSt,,,,,,12/03/21,19
1,807165907,0,11/29/21,4:04:53,11/29/21,SafeSt,SafetyStock,,,120.000-,1,432.00,12/03/21,19
1,807165907,3579,11/30/21,7:19:39,01/10/22,SchAgr,F3KXYH3/00001,01/08/22,30,320,1,088.00,12/03/21,19
1,807165907,638,11/30/21,7:19:39,12/02/21,SchAgr,F3KXYH3/00001*,12/01/21,10,240,1,332.00,12/03/21,19
1,807165907,617,11/01/21,4:08:35,11/03/21,SchAgr,,,,,,12/03/21,19
1,807165907,2107,11/30/21,7:19:39,12/07/21,SchAgr,F3KXYH3/00001,12/06/21,30,400,1,230.00,12/03/21,19
1,807165907,3595,11/30/21,7:19:39,01/14/22,SchAgr,F3KXYH3/00001,01/13/22,30,240,878,12/03/21,19
1,807165907,0,10/22/21,7:20:09,10/22/21,SafeSt,,,,,,12/03/21,19
1,807165907,0,10/28/21,7:19:53,10/28/21,SafeSt,,,,,,12/03/21,19
1,807165907,3573,11/30/21,7:19:39,01/07/22,SchAgr,F3KXYH3/00001,01/06/22,30,320,1,054.00,12/03/21,19
1,807165907,0,11/16/21,7:19:30,11/16/21,SafeSt,SafetyStock,,,120.000-,1,371.00,12/03/21,19
1,807165907,945,11/18/21,7:19:59,11/22/21,SchAgr,F3KXYH3/00001,11/20/21,30,80,1,271.00,12/03/21,19
1,807165907,0,11/15/21,4:04:45,11/15/21,SafeSt,SafetyStock,,,120.000-,1,320.00,12/03/21,19
1,807165907,556,11/19/21,7:19:32,11/22/21,SchAgr,F3KXYH3/00001*,11/20/21,10,80,1,263.00,12/03/21,19
1,807165907,0,11/04/21,7:22:40,11/04/21,SafeSt,,,,,,12/03/21,19
1,807165907,0,11/17/21,7:19:35,11/17/21,SafeSt,SafetyStock,,,120.000-,1,323.00,12/03/21,19
1,807165907,656,11/08/21,4:05:17,11/10/21,SchAgr,F3KXYH3/00001*,11/09/21,10,400,1,398.00,12/03/21,19
1,807165907,3532,11/30/21,7:19:39,12/13/21,SchAgr,F3KXYH3/00001,12/11/21,30,320,945,12/03/21,19
1,807165907,227,11/10/21,7:19:40,11/11/21,SchAgr,F3KXYH3/00001*,11/10/21,10,80,1,109.00,12/03/21,19
1,807165907,322,11/29/21,4:04:53,11/30/21,SchAgr,F3KXYH3/00001*,11/29/21,10,80,1,193.00,12/03/21,19
1,807165907,3568,11/30/21,7:19:39,01/06/22,SchAgr,F3KXYH3/00001,01/05/22,30,320,1,075.00,12/03/21,19
1,807165907,3547,11/30/21,7:19:39,12/18/21,SchAgr,F3KXYH3/00001,12/17/21,30,400,1,056.00,12/03/21,19
1,807165907,3550,11/30/21,7:19:39,12/20/21,SchAgr,F3KXYH3/00001,12/18/21,30,320,1,149.00,12/03/21,19
1,807165907,3527,11/30/21,7:19:39,12/11/21,SchAgr,F3KXYH3/00001,12/10/21,30,320,926,12/03/21,19
1,807165907,0,10/29/21,7:20:15,10/29/21,SafeSt,,,,,,12/03/21,19
1,807165907,281,04/05/22,7:19:44,04/06/22,SchAgr,F3KXYH3/00001*,04/05/22,10,80,1,259.00,04/07/22,9
1,807165907,0,01/25/22,7:19:45,01/25/22,SafeSt,SafetyStock,,,120.000-,1,342.00,01/27/22,9
1,807165907,1799,03/21/22,4:05:28,03/28/22,SchAgr,F3KXYH3/00001,03/26/22,30,480,1,581.00,03/23/22,9
1,807165907,3311,03/21/22,4:05:28,04/19/22,SchAgr,F3KXYH3/00001,04/18/22,30,160,1,011.00,03/23/22,9
1,807165907,0,02/01/22,7:19:48,02/01/22,SafeSt,SafetyStock,,,120.000-,1,367.00,02/03/22,9
1,807165907,0,01/26/22,7:19:50,01/26/22,SafeSt,SafetyStock,,,120.000-,1,178.00,01/28/22,9
1,807165907,10,03/08/22,7:19:31,03/07/22,ShipNt,0185719895/F3KXYH3,,7,400,1,486.00,03/10/22,9
1,807165907,335,03/08/22,7:19:31,03/09/22,SchAgr,F3KXYH3/00001*,03/08/22,10,80,1,244.00,03/10/22,9
1,807165907,0,02/22/22,7:20:06,02/22/22,SafeSt,SafetyStock,,,120.000-,918,02/24/22,9
1,807165907,0,02/21/22,4:05:04,02/21/22,SafeSt,SafetyStock,,,120.000-,1,366.00,02/23/22,9
1,807165907,553,03/26/22,7:19:50,03/29/22,SchAgr,F3KXYH3/00001*,03/28/22,10,400,1,518.00,03/28/22,9
1,807165907,0,12/04/21,7:20:00,12/04/21,SafeSt,SafetyStock,,,120.000-,908,12/06/21,9
1,807165907,0,02/15/22,7:19:54,02/15/22,SafeSt,SafetyStock,,,120.000-,1,330.00,02/17/22,9
1,807165907,293,02/15/22,7:19:54,02/16/22,SchAgr,F3KXYH3/00001*,02/15/22,10,80,1,121.00,02/17/22,9
1,807165907,0,01/20/22,7:19:45,01/20/22,SafeSt,SafetyStock,,,120.000-,1,395.00,01/22/22,9
1,807165907,0,11/01/21,4:08:35,11/01/21,SafeSt,,,,,,12/03/21,19
1,807165907,3541,11/30/21,7:19:39,12/16/21,SchAgr,F3KXYH3/00001,12/15/21,30,240,982,12/03/21,19
1,807165907,2,03/12/22,7:19:52,03/11/22,ShipNt,0185731810/F3KXYH3,03/12/22,15,400,1,452.00,03/14/22,9
1,807165907,0,10/23/21,7:19:51,10/23/21,SafeSt,,,,,,12/03/21,19
1,807165907,3544,11/30/21,7:19:39,12/17/21,SchAgr,F3KXYH3/00001,12/16/21,30,320,921,12/03/21,19
1,807165907,1570,11/30/21,7:19:39,12/04/21,SchAgr,F3KXYH3/00001,12/03/21,30,320,883,12/03/21,19
1,807165907,0,02/16/22,7:19:45,02/16/22,SafeSt,SafetyStock,,,120.000-,1,342.00,02/18/22,9
1,807165907,0,11/10/21,7:19:40,11/10/21,SafeSt,SafetyStock,,,120.000-,1,254.00,12/03/21,19
1,807165907,322,12/02/21,7:19:40,12/03/21,SchAgr,F3KXYH3/00001*,12/02/21,10,240,1,192.00,12/03/21,19
1,807165907,292,11/09/21,7:20:22,11/10/21,SchAgr,F3KXYH3/00001*,11/09/21,10,400,1,407.00,12/03/21,19
1,807165907,0,11/12/21,7:19:38,11/12/21,SafeSt,SafetyStock,,,120.000-,1,297.00,12/03/21,19
1,807165907,255,12/01/21,7:19:34,12/02/21,SchAgr,F3KXYH3/00001*,12/01/21,10,320,1,417.00,12/03/21,19
1,807165907,3553,11/30/21,7:19:39,12/21/21,SchAgr,F3KXYH3/00001,12/20/21,30,160,978,12/03/21,19
1,807165907,3559,11/30/21,7:19:39,12/23/21,SchAgr,F3KXYH3/00001,12/22/21,30,320,972,12/03/21,19
1,807165907,0,12/01/21,7:19:34,12/01/21,SafeSt,SafetyStock,,,120.000-,1,349.00,12/03/21,19
1,807165907,207,11/20/21,7:19:24,11/22/21,SchAgr,F3KXYH3/00001*,11/20/21,10,80,1,268.00,12/03/21,19
1,807165907,0,01/29/22,7:19:48,01/29/22,SafeSt,SafetyStock,,,120.000-,770,01/31/22,15
1,807165907,2,01/29/22,7:19:48,01/28/22,ShipNt,0185630025/F3KXYH3,01/29/22,15,400,1,170.00,01/31/22,15
1,807165907,0,01/27/22,7:19:49,01/27/22,SafeSt,SafetyStock,,,120.000-,1,140.00,01/31/22,15
1,807165907,0,01/28/22,7:19:56,01/28/22,SafeSt,SafetyStock,,,120.000-,1,075.00,01/31/22,15
1,807165907,2,03/19/22,7:20:02,03/18/22,ShipNt,0185749075/F3KXYH3,03/19/22,15,320,1,182.00,03/21/22,9
1,807165907,0,12/11/21,7:19:49,12/11/21,SafeSt,SafetyStock,,,120.000-,990,12/13/21,9
